entity,timestamp,Temperature,TemperatureSpectralScore,SaliencyAnomalyScore,TemperatureFFTScore,TemperatureKmeansScore
MyRoom,2017-10-09 20:32:00,23.0,0.8754566000929843,18.7300502334332,-3.735849166106766,-0.12573186527158894
MyRoom,2017-10-09 20:33:00,23.0,0.8778835138186719,17.970559084226384,-2.7167764379104873,-0.07736109047738093
MyRoom,2017-10-09 20:34:00,23.0,0.8803104275443595,17.211067935019567,-1.6977037097142094,-0.028990315683172924
MyRoom,2017-10-09 20:35:00,23.0,0.8827373412700471,16.45157678581275,-0.6786309815179314,0.019380459111035087
MyRoom,2017-10-09 20:36:00,23.0,0.8851642549957347,15.692085636605935,0.3404417466783469,0.0677512339052431
MyRoom,2017-10-09 20:37:00,22.9375,0.8875911687214223,14.93259448739912,1.359514474874625,0.1161220086994511
MyRoom,2017-10-09 20:38:00,23.0,0.8900180824471099,14.173103338192304,2.378587203070903,0.16449278349365912
MyRoom,2017-10-09 20:39:00,22.9375,0.8924449961727975,13.413612188985487,3.3976599312671816,0.21286355828786713
MyRoom,2017-10-09 20:40:00,23.0,0.8934602490901781,13.447621470113813,3.8701474824311015,0.2527227788701276
MyRoom,2017-10-09 20:41:00,22.9375,0.8945311829152051,12.974246256398002,3.9201511678792156,0.26486291659871647
MyRoom,2017-10-09 20:42:00,22.9375,0.8978645879560776,11.263360038319329,4.1525002340475545,0.2638852695330891
MyRoom,2017-10-09 20:43:00,23.0625,0.9038488056320794,11.919216210237096,4.068918682656139,0.2779826640515259
MyRoom,2017-10-09 20:44:00,22.875,0.9101948519509598,7.369158443471397,5.357081549949852,0.3311767440438063
MyRoom,2017-10-09 20:45:00,22.875,0.9144965976411605,7.471123285978373,5.350876573342273,0.34150867373959537
MyRoom,2017-10-09 20:46:00,22.9375,0.9169226963553061,7.292080246256869,6.075521206564089,0.3868717177508217
MyRoom,2017-10-09 20:47:00,23.0,0.9201459060703869,6.471254278955676,6.717490030525579,0.3889775675754496
MyRoom,2017-10-09 20:48:00,22.9375,0.9261888663969017,6.574481981905063,6.899605267215658,0.40579208397956223
MyRoom,2017-10-09 20:49:00,22.8125,0.9334804830415876,6.93620035175133,6.923022869324348,0.4019386730314095
MyRoom,2017-10-09 20:50:00,22.9375,0.9377561453085608,6.731033806068224,5.169379779330359,0.4282558132349774
MyRoom,2017-10-09 20:51:00,22.8125,0.9368206796612247,6.850099867569544,5.789210706109456,0.4408457745783201
