entity,timestamp,Temperature,TemperatureSpectralScore,SaliencyAnomalyScore,TemperatureFFTScore,TemperatureKmeansScore,TemperatureMatrixProfileScore,TemperatureNoDataScore
MyRoom,2017-10-09 20:32:00,23.0,5.937085495431232,3.737141256660366,3.791322689938955,0.0743332545328494,0.10825317547305482,0.0
MyRoom,2017-10-09 20:33:00,23.0,5.850938457930197,2.717961224012309,2.7642607261025,0.0877993593566634,0.13975424859373686,0.0
MyRoom,2017-10-09 20:34:00,23.0,5.764791420429162,1.6987811913642528,1.7371987622660443,0.10126546418047741,0.13975424859373686,0.0
MyRoom,2017-10-09 20:35:00,23.0,5.678644382928128,0.6796011587161965,0.7101367984295885,0.1147315690042914,0.15309310892394865,0.0
MyRoom,2017-10-09 20:36:00,23.0,5.592497345427094,0.33957887393186015,0.31692516540686677,0.1281976738281054,0.16535945694153692,0.0
MyRoom,2017-10-09 20:37:00,22.9375,5.506350307926059,1.3587589065799166,1.3439871292433223,0.1416637786519194,0.13975424859373686,0.0
MyRoom,2017-10-09 20:38:00,23.0,5.4202032704250245,2.377938939227973,2.371049093079778,0.1551298834757334,0.19764235376052366,0.0
MyRoom,2017-10-09 20:39:00,22.9375,5.33405623292399,3.3971189718760293,3.3981110569162336,0.1685959882995474,0.1530931089239486,0.0
MyRoom,2017-10-09 20:40:00,23.0,5.247909195422955,3.8727766939703865,3.862673195332305,0.18074969940061186,0.22534695471649932,0.0
MyRoom,2017-10-09 20:41:00,22.9375,5.161762157921921,3.922195327311577,3.9222989078402786,0.17752541193316482,0.2165063509461096,0.0
MyRoom,2017-10-09 20:42:00,22.9375,5.075615120420887,4.154818118724092,4.1439969695293355,0.1833694541366482,0.22534695471649932,0.0
MyRoom,2017-10-09 20:43:00,23.0625,4.989468082919852,4.067981634266544,4.065601058309152,0.17848602296710542,0.22534695471649932,0.0
