entity,timestamp,Temperature,TemperatureSpectralScore,TemperatureSpectralScoreInv,predicted_SaliencyAnomalyScore,SaliencyAnomalyScore,predicted_TemperatureFFTScore,TemperatureFFTScore,predicted_TemperatureKmeansScore,TemperatureKmeansScore
MyRoom,2017-10-09 20:32:00,23.0,5.937734193002775,0.05492350363810856,-0.8519450740913497,0.0,-0.8519450740913497,0.0,-0.8519450740913497,0.0
MyRoom,2017-10-09 20:33:00,23.0,5.851479039239817,0.05492350363810859,-0.8519450740913497,0.0,-0.8519450740913497,0.0,-0.8519450740913497,0.0
MyRoom,2017-10-09 20:34:00,23.0,5.765223885476859,0.05492350363810863,-0.8519450740913497,0.0,-0.8519450740913497,0.0,-0.8519450740913497,0.0
MyRoom,2017-10-09 20:35:00,23.0,5.6789687317138995,0.05492350363810866,-0.8519450740913497,0.0,-0.8519450740913497,0.0,-0.8519450740913497,0.0024549589437295877
MyRoom,2017-10-09 20:36:00,23.0,5.592713577950941,0.0549235036381087,-0.8519450740913497,0.33957887393241437,-0.8519450740913497,0.330818913350833,-0.8519450740913497,0.031665744297966654
MyRoom,2017-10-09 20:37:00,22.9375,5.506458424187983,0.05492350363810874,-0.8940593282089521,1.3587589065803178,-0.8940593282089521,1.3526141826160716,-0.8940593282089521,0.06087652965220372
MyRoom,2017-10-09 20:38:00,23.0,5.4202032704250245,0.05492350363810877,-0.8519450740913497,2.3779389392282213,-0.8519450740913497,2.37440945188131,-0.8519450740913497,0.0900873150064408
MyRoom,2017-10-09 20:39:00,22.9375,5.333948116662066,0.05492350363810881,-0.8940593282089521,3.3971189718761248,-0.8940593282089521,3.3962047211465487,-0.8940593282089521,0.11929810036067787
MyRoom,2017-10-09 20:40:00,23.0,5.247692962899108,0.05492350363810884,-0.8519450740913497,3.8727766939702195,-0.8519450740913497,3.8676875231420658,-0.8519450740913497,0.14182997223155663
MyRoom,2017-10-09 20:41:00,22.9375,5.1614378091361495,0.054923503638108884,-0.8940593282089521,3.9221953273123513,-0.8940593282089521,3.9225171278175317,-0.8940593282089521,0.1476842545029618
MyRoom,2017-10-09 20:42:00,22.9375,5.07518265537319,0.05492350363810892,-0.8940593282089521,4.154818118723848,-0.8940593282089521,4.152600364143034,-0.8940593282089521,0.14895562925695754
